time,lat,long,LAeq
1530373036.0,41.147703591,-8.610996883,76.0
1530373280.0,41.147703591,-8.610996883,74.0
1530373590.0,41.147703591,-8.610996883,82.8
1530373897.0,41.147703591,-8.610996883,74.4
1530374200.0,41.147703591,-8.610996883,76.4
1530374510.0,41.147703591,-8.610996883,75.0
1530374814.0,41.147703591,-8.610996883,74.6
1530375120.0,41.147703591,-8.610996883,76.3
1530375425.0,41.147703591,-8.610996883,77.2
1530375736.0,41.147703591,-8.610996883,76.1
1530376040.0,41.147703591,-8.610996883,75.1
1530376296.0,41.147703591,-8.610996883,75.2
1530376601.0,41.147703591,-8.610996883,74.6
1530376916.0,41.147703591,-8.610996883,76.5
1530377221.0,41.147703591,-8.610996883,77.3
1530377545.0,41.147703591,-8.610996883,76.4
1530377795.0,41.147703591,-8.610996883,79.8
1530378101.0,41.147703591,-8.610996883,76.7
1530378415.0,41.147703591,-8.610996883,75.1
1530378718.0,41.147703591,-8.610996883,74.2
1530379021.0,41.147703591,-8.610996883,75.4
1530379362.0,41.147703591,-8.610996883,76.0
1530379648.0,41.147703591,-8.610996883,73.1
1530379891.0,41.147703591,-8.610996883,78.0
1530380194.0,41.147703591,-8.610996883,75.9
1530380496.0,41.147703591,-8.610996883,74.4
1530380802.0,41.147703591,-8.610996883,74.5
1530381120.0,41.147703591,-8.610996883,75.5
1530381163.0,41.147703591,-8.610996883,75.5
1530381210.0,41.147703591,-8.610996883,75.5
1530381393.0,41.147703591,-8.610996883,75.9
1530381696.0,41.147703591,-8.610996883,74.8
1530382000.0,41.147703591,-8.610996883,74.6
1530382311.0,41.147703591,-8.610996883,87.1
1530382614.0,41.147703591,-8.610996883,78.3
1530382917.0,41.147703591,-8.610996883,78.1
1530383227.0,41.147703591,-8.610996883,77.8
1530383530.0,41.147703591,-8.610996883,75.8
1530383833.0,41.147703591,-8.610996883,73.6
1530384136.0,41.147703591,-8.610996883,75.9
1530384379.0,41.147703591,-8.610996883,75.2
1530384681.0,41.147703591,-8.610996883,78.2
1530385090.0,41.147703591,-8.610996883,76.0
1530385340.0,41.147703591,-8.610996883,78.7
1530385617.0,41.147703591,-8.610996883,78.8
1530385927.0,41.147703591,-8.610996883,74.1
1530386229.0,41.147703591,-8.610996883,72.8
1530386532.0,41.147703591,-8.610996883,72.5
1530386834.0,41.147703591,-8.610996883,74.1
1530387143.0,41.147703591,-8.610996883,68.5
1530387392.0,41.147703591,-8.610996883,70.5
1530387695.0,41.147703591,-8.610996883,73.7
1530387997.0,41.147703591,-8.610996883,72.1
1530388300.0,41.147703591,-8.610996883,69.7
1530388602.0,41.147703591,-8.610996883,74.1
1530388904.0,41.147703591,-8.610996883,71.1
1530389206.0,41.147703591,-8.610996883,68.3
1530389508.0,41.147703591,-8.610996883,69.1
1530389811.0,41.147703591,-8.610996883,82.0
1530390113.0,41.147703591,-8.610996883,72.0
1530390415.0,41.147703591,-8.610996883,69.4
1530390717.0,41.147703591,-8.610996883,70.2
1530391020.0,41.147703591,-8.610996883,70.4
1530391322.0,41.147703591,-8.610996883,70.2
1530391624.0,41.147703591,-8.610996883,70.3
1530391926.0,41.147703591,-8.610996883,71.4
1530392228.0,41.147703591,-8.610996883,70.8
1530392530.0,41.147703591,-8.610996883,71.4
1530392839.0,41.147703591,-8.610996883,71.1
1530393081.0,41.147703591,-8.610996883,71.2
1530393383.0,41.147703591,-8.610996883,70.2
1530393693.0,41.147703591,-8.610996883,70.2
1530393721.0,41.147703591,-8.610996883,70.2
1530394023.0,41.147703591,-8.610996883,71.2
1530394325.0,41.147703591,-8.610996883,70.9
1530394627.0,41.147703591,-8.610996883,72.0
1530394929.0,41.147703591,-8.610996883,82.2
1530395231.0,41.147703591,-8.610996883,80.8
