time,lat,long,NO2
1544109684.0,41.180222,-8.605194,58.5
1544110098.0,41.180222,-8.605194,58.5
1544110290.0,41.180222,-8.605194,51.5
1544110676.0,41.180222,-8.605194,51.5
1544111069.0,41.180222,-8.605194,51.5
1544111257.0,41.180222,-8.605194,50.6
1544111642.0,41.180222,-8.605194,50.6
1544111914.0,41.180222,-8.605194,50.6
1544112224.0,41.180222,-8.605194,55.8
1544112409.0,41.180222,-8.605194,55.8
1544112803.0,41.180222,-8.605194,55.8
1544112980.0,41.180222,-8.605194,57.4
1544113389.0,41.180222,-8.605194,57.4
1544113577.0,41.180222,-8.605194,57.4
1544113986.0,41.180222,-8.605194,62.0
1544114181.0,41.180222,-8.605194,62.0
1544114560.0,41.180222,-8.605194,62.0
1544114931.0,41.180222,-8.605194,54.7
1544115128.0,41.180222,-8.605194,54.7
1544115506.0,41.180222,-8.605194,54.7
1544115692.0,41.180222,-8.605194,73.0
1544116095.0,41.180222,-8.605194,73.0
1544116292.0,41.180222,-8.605194,73.0
1544116668.0,41.180222,-8.605194,87.9
1544117051.0,41.180222,-8.605194,87.9
1544117265.0,41.180222,-8.605194,87.9
1544117642.0,41.180222,-8.605194,80.6
1544117832.0,41.180222,-8.605194,80.6
1544118214.0,41.180222,-8.605194,80.6
